Date,City,State,Fatalities,Wounded
3/27/1990,Brooklyn,New York,0,1.0
5/20/1990,Centerville,Tennessee,1,No Info
8/26/1990,Las Vegas,Nevada,1,No Info
9/11/1990,San Antonio,Texas,0,3.0
1/8/1991,Richardson,Texas,0,No Info
2/6/1991,Donna,Texas,1,0.0
4/23/1991,Compton,California,1,No Info
4/23/1991,Compton,California,1,0.0
9/18/1991,Crosby,Texas,1,No Info
9/18/1991,Crosby,Texas,1,0.0
10/8/1991,Bronx,New York,1,No Info
11/1/1991,Iowa City,Iowa,5,No Info
11/1/1991,Iowa City,Iowa,6,1.0
11/14/1991,Houston,Texas,0,No Info
11/25/1991,Brooklyn,New York,1,No Info
11/25/1991,Brooklyn,New York,1,0.0
12/12/1991,Kent,Ohio,1,0.0
1/29/1992,Kent,Ohio,0,1.0
2/26/1992,Brooklyn,New York,2,No Info
2/26/1992,Brooklyn,New York,2,0.0
5/1/1992,Olivehurst,California,4,No Info
5/1/1992,Olivehurst,California,3,10.0
5/14/1992,Napa,California,0,No Info
9/11/1992,Lincoln,Texas,0,No Info
10/12/1992,Lincoln,Nebraska,0,No Info
10/12/1992,Tucson,Arizona,1,No Info
10/19/1992,The Bronx,New York,0,3.0
11/4/1992,Detroit,Michigan,0,11.0
11/10/1992,Chicago,Illinois,0,No Info
11/13/1992,Houston,Texas,1,No Info
11/16/1992,Birmingham,Alabama,1,No Info
11/20/1992,Chicago,Illinois,1,No Info
11/23/1992,Buffalo,New York,0,No Info
12/3/1992,Chicago,Illinois,1,No Info
12/14/1992,Great Barrington,Massachusetts,2,No Info
12/14/1992,Great Barrington,Massachusetts,2,4.0
1/6/1993,Brentwood,New York,0,1.0
1/8/1993,Kinzers,Pennsylvania,1,No Info
1/12/1993,Miami,Florida,1,No Info
1/18/1993,Grayson,Kentucky,2,No Info
1/18/1993,Grayson,Kentucky,2,0.0
1/21/1993,Los Angeles,California,1,No Info
2/1/1993,Redmond,Washington,1,No Info
2/1/1993,Amityville,New York,1,No Info
2/4/1993,Clayton County,Georgia,1,No Info
2/8/1993,Middle River,Minnesota,1,No Info
2/8/1993,Washington DC,District of Columbia,1,No Info
2/18/1993,Dallas,Texas,1,No Info
2/22/1993,Los Angeles,California,1,No Info
2/22/1993,Los Angeles,California,1,0.0
2/26/1993,Gloucester,Massachusetts,0,No Info
3/18/1993,Harlem,Georgia,1,No Info
3/25/1993,St. Louis,Missouri,1,No Info
4/3/1993,Sacramento,California,1,No Info
4/14/1993,Irving,Texas,1,No Info
4/15/1993,Acushnet,Massachusetts,1,No Info
4/15/1993,Acushnet,Massachusetts,1,0.0
4/16/1993,Sacramento,California,1,No Info
4/26/1993,Raleigh,North Carolina,1,No Info
5/14/1993,Irving,Texas,1,0.0
5/24/1993,Red Hill,Pennsylvania,1,No Info
5/24/1993,Pennsburg,Pennsylvania,1,0.0
5/27/1993,New Orleans,Louisiana,1,No Info
7/8/1993,Ogden,Utah,1,No Info
8/31/1993,Atlanta,Georgia,1,No Info
9/2/1993,Dallas,Texas,1,No Info
9/17/1993,Sheridan,Wyoming,1,4.0
9/18/1993,Sheridan,Wyoming,1,No Info
10/12/1993,New Castle,Delaware,1,No Info
10/14/1993,Detroit,Michigan,1,No Info
11/1/1993,Chicago,Illinois,1,No Info
11/4/1993,Jacksonville,Florida,1,No Info
11/4/1993,New Britain,Connecticut,1,No Info
11/4/1993,New Britain,Connecticut,1,0.0
11/5/1993,Bay Springs,Mississippi,1,No Info
11/29/1993,Kansas City,Missouri,1,No Info
12/1/1993,Wauwatosa,Wisconsin,1,No Info
12/1/1993,Wauwatosa,Wisconsin,1,0.0
12/8/1993,Savannah,Georgia,1,No Info
12/17/1993,Chelsea,Michigan,1,No Info
1/20/1994,Kennard,Texas,0,No Info
1/20/1994,Hacienda Heights,California,1,No Info
1/24/1994,Columbia,South Carolina,1,0.0
1/26/1994,Columbia,South Carolina,1,No Info
1/31/1994,Seattle,Washington,1,No Info
1/31/1994,Seattle,Washington,1,0.0
2/8/1994,Detroit,Michigan,1,No Info
2/14/1994,Belmont,California,1,No Info
2/18/1994,Spartanburg,South Carolina,0,1.0
3/1/1994,Boonville,Missouri,2,No Info
3/1/1994,Boonville,Missouri,2,0.0
3/15/1994,Charleston,South Carolina,1,No Info
3/22/1994,Riveria Beach,Florida,0,No Info
3/23/1994,Seattle,Washington,1,No Info
3/25/1994,Woodstock,Georgia,0,No Info
4/12/1994,Butte,Montana,1,No Info
4/12/1994,Butte,Montana,1,0.0
4/13/1994,Los Angeles,California,0,No Info
4/21/1994,Nashville,Tennessee,1,No Info
4/21/1994,Nashville,Tennessee,1,0.0
5/2/1994,North Miami,Florida,1,No Info
5/25/1994,Union,Kentucky,4,No Info
7/25/1994,Ottumwa,Iowa,1,No Info
9/7/1994,Hollywood,California,1,No Info
10/12/1994,Greensboro,North Carolina,1,No Info
10/12/1994,Greensboro,North Carolina,1,1.0
10/17/1994,Chicago,Illinois,0,1.0
11/5/1994,San Leandro,California,1,No Info
11/7/1994,Wickliffe,Ohio,1,No Info
11/7/1994,Wickliffe,Ohio,1,4.0
11/15/1994,Tacoma,Washington,1,No Info
12/14/1994,Albany,New York,0,1.0
1/5/1995,Washington DC,District of Columbia,1,No Info
1/10/1995,Palm Beach Gardens,Florida,0,No Info
1/12/1995,Seattle,Washington,0,No Info
1/12/1995,Seattle,Washington,0,2.0
1/23/1995,Redlands,California,1,No Info
1/26/1995,Chapel Hill,North Carolina,2,No Info
2/2/1995,Long Beach,California,1,No Info
8/29/1995,Laredo,Texas,1,No Info
9/12/1995,Memphis,Tennessee,1,No Info
9/14/1995,Olathe,Kansas,2,No Info
9/29/1995,Tavares,Florida,1,No Info
9/29/1995,Tavares,Florida,1,0.0
10/12/1995,Blackville,South Carolina,1,No Info
10/12/1995,Blackville,South Carolina,2,1.0
11/15/1995,Lynnville,Tennessee,2,No Info
11/15/1995,Lynnville,Tennessee,2,1.0
11/28/1995,queens,New York,1,No Info
1/19/1996,District of Columbia,District of Columbia,1,No Info
1/19/1996,Washington,D.C.,1,0.0
1/26/1996,memphis,Tennessee,1,No Info
2/2/1996,Moses Lake,Washington,3,No Info
2/2/1996,Moses Lake,Washington,3,1.0
2/8/1996,Palo Alto,California,1,No Info
2/29/1996,St. Louis,Missouri,1,1.0
3/11/1996,New London,North Carolina,1,No Info
4/11/1996,Talledega,Alabama,1,No Info
6/4/1996,Hemet,California,1,No Info
8/15/1996,San Diego,California,3,No Info
8/15/1996,San Diego,California,3,0.0
8/26/1996,San Antonio,Texas,1,No Info
9/17/1996,State College,Pennsylvania,1,No Info
9/17/1996,State College,Pennsylvania,1,2.0
9/25/1996,Scottdale,Georgia,1,No Info
9/25/1996,Decatur,Georgia,1,2.0
10/2/1996,Philadelphia,Pennsylvania,2,No Info
10/4/1996,Playa del Rey,California,1,No Info
10/9/1996,Sherwood,Arkansas,1,0.0
10/13/1996,St. Louis,Missouri,1,No Info
10/16/1996,West Lafayette,Indiana,1,No Info
11/27/1996,Sacramento,California,1,No Info
1/11/1997,Brooklyn,New York,1,No Info
1/27/1997,West Palm Beach,Florida,1,No Info
1/27/1997,West Palm Beach,Florida,1,0.0
1/31/1997,Tulsa,Oklahoma,1,No Info
2/19/1997,Bethel,Alaska,2,No Info
2/19/1997,Bethel,Alaska,2,2.0
2/20/1997,Jacksonville,Florida,1,No Info
3/18/1997,Detroit,Michigan,1,No Info
10/1/1997,Pearl,Mississippi,3,No Info
10/1/1997,Pearl,Mississippi,3,7.0
10/14/1997,Garland,Texas,1,No Info
10/15/1997,Palmetto,Florida,0,1.0
10/22/1997,Norwalk,California,2,No Info
11/13/1997,Sacramento,California,1,No Info
12/1/1997,West Paducah,Kentucky,3,No Info
12/1/1997,West Paducah,Kentucky,3,5.0
12/15/1997,Stamps,Arkansas,2,No Info
12/15/1997,Stamps,Arkansas,0,2.0
2/25/1998,Reed City,Michigan,1,No Info
3/1/1998,Philadelphia,Pennsylvania,1,3.0
3/24/1998,Jonesboro,Arkansas,5,No Info
3/24/1998,Craighead County,Arkansas,5,10.0
3/25/1998,Coldwater,Michigan,1,No Info
3/30/1998,Chapel Hill,North Carolina,0,No Info
4/24/1998,Edinboro,Pennsylvania,1,No Info
4/24/1998,Edinboro,Pennsylvania,1,3.0
4/28/1998,Pomona,California,2,No Info
5/1/1998,Buffalo,New York,1,No Info
5/19/1998,Fayetteville,Tennessee,1,No Info
5/19/1998,Fayetteville,Tennessee,1,0.0
5/21/1998,Springfield,Oregon,4,No Info
5/21/1998,Rialto,California,1,No Info
5/21/1998,Springfield,Oregon,4,23.0
5/27/1998,Pasadena,California,0,No Info
5/29/1998,Fort Lauderdale,Florida,2,No Info
6/15/1998,Richmond,Virginia,0,No Info
6/15/1998,Richmond,Virginia,0,2.0
9/4/1998,San Bernardino,California,2,No Info
9/12/1998,Glendale,California,0,No Info
12/10/1998,Detroit,Michigan,1,No Info
12/10/1998,Detroit,Michigan,1,0.0
1/8/1999,Carollton,Georgia,2,No Info
1/8/1999,Carrollton,Georgia,1,1.0
1/21/1999,North Richland Hills,Texas,1,No Info
2/11/1999,Elgin,Illinois,0,No Info
4/16/1999,Notus,Idaho,0,No Info
4/16/1999,Notus,Idaho,0,0.0
4/20/1999,Littleton,Colorado,15,No Info
4/20/1999,Littleton,Colorado,15,21.0
4/23/1999,Atlanta,Georgia,1,No Info
5/20/1999,Conyers,Georgia,0,No Info
5/20/1999,Conyers,Georgia,0,6.0
8/25/1999,Monticello,Georgia,1,No Info
9/7/1999,Plano,Texas,1,No Info
9/9/1999,San Jose,California,1,No Info
11/19/1999,Deming,New Mexico,0,No Info
11/19/1999,Deming,New Mexico,1,0.0
12/6/1999,Fort Gibson,Oklahoma,0,No Info
12/6/1999,Fort Gibson,Oklahoma,0,6.0
1/19/2000,New Port Richey,Florida,0,No Info
2/29/2000,Flint,Michigan,1,No Info
2/29/2000,Flint,Michigan,1,0.0
5/10/2000,Sierra Vista,Arizona,2,No Info
5/26/2000,Lake Worth,Florida,1,No Info
5/26/2000,Lake Worth,Florida,1,0.0
6/28/2000,Seattle,Washington,2,No Info
7/26/2000,Canton,Ohio,1,No Info
8/28/2000,Fayetteville,Arkansas,2,No Info
8/28/2000,Fayetteville,Arkansas,2,0.0
9/5/2000,Bidwell,Ohio,2,No Info
9/26/2000,New Orleans,Louisiana,0,No Info
9/26/2000,New Orleans,Louisiana,0,2.0
10/23/2000,Los Angeles,California,1,No Info
10/26/2000,Brooklyn,New York,1,No Info
10/27/2000,Memphis,Tennessee,1,No Info
12/1/2000,Granada Hills,California,0,No Info
12/1/2000,San Diego,California,0,1.0
1/10/2001,Oxnard,California,1,No Info
1/17/2001,Baltimore,Maryland,1,No Info
1/29/2001,Arlington,Texas,1,No Info
3/2/2001,San Diego,California,0,No Info
3/5/2001,Santee,California,2,No Info
3/5/2001,Santee,California,2,13.0
3/7/2001,Williamsport,Pennsylvania,0,No Info
3/7/2001,Williamsport,Pennsylvania,0,1.0
3/22/2001,El Cajon,California,0,No Info
3/22/2001,El Cajon,California,0,5.0
3/30/2001,Gary,Indiana,1,No Info
3/30/2001,Gary,Indiana,1,0.0
4/3/2001,Klein,Texas,0,No Info
4/25/2001,Cleveland,Ohio,1,No Info
5/15/2001,Ennis,Texas,0,No Info
5/16/2001,Parkland,Washington,2,0.0
5/17/2001,Pierce County,Washington,1,No Info
10/12/2001,Taylorsville,Utah,0,No Info
