State,College Number of Shootings,High School Number of Shootings,Middle School Number of Shootings,Elementary School Number of Shootings
California,18,53.0,8.0,13.0
Texas,11,33.0,7.0,3.0
Virginia,11,4.0,No Info,No Info
North Carolina,9,16.0,2.0,1.0
Georgia,8,17.0,3.0,2.0
Illinois,7,19.0,No Info,2.0
Massachusetts,6,3.0,2.0,No Info
Ohio,6,13.0,2.0,2.0
Arkansas,6,2.0,3.0,No Info
Washington,6,10.0,8.0,2.0
Pennsylvania,5,16.0,4.0,3.0
Alabama,5,9.0,4.0,3.0
Florida,5,25.0,10.0,3.0
Michigan,4,20.0,No Info,2.0
Louisiana,4,6.0,5.0,No Info
Arizona,4,6.0,No Info,1.0
Tennessee,4,24.0,2.0,1.0
Indiana,3,4.0,4.0,No Info
Missouri,3,6.0,2.0,2.0
Iowa,2,3.0,No Info,No Info
Oregon,2,9.0,No Info,No Info
West Virginia,2,No Info,No Info,No Info
Maryland,2,8.0,2.0,No Info
Mississippi,2,6.0,No Info,No Info
New York,2,16.0,No Info,1.0
Kentucky,2,7.0,1.0,No Info
Utah,1,3.0,2.0,No Info
South Carolina,1,9.0,No Info,1.0
Delaware,1,2.0,No Info,No Info
District of Columbia,1,2.0,1.0,No Info
Oklahoma,1,1.0,2.0,No Info
Nebraska,1,2.0,1.0,No Info
