Date,City,State,AreaType,School,Fatalities,Wounded,Desc
3/27/1990,Brooklyn,New York,No Info,College,0,1.0,"A black youth was taunted with racial slurs by three white youths in the stairwell of a public school in theÂ¬â BensonhurstÂ¬â area ofÂ¬â Brooklyn. The 14-year-old was then shot and slightly wounded, because he had acted as peacemaker when the same boys had clashed with another black teen the month before.[240]"
5/20/1990,Centerville,Tennessee,suburban,High School,1,No Info,No Info
8/26/1990,Las Vegas,Nevada,urban,High School,1,No Info,No Info
9/11/1990,San Antonio,Texas,No Info,High School,0,3.0,"3 students were wounded when gunfire broke out atÂ¬â Sam Houston High School. The incident took place at 11:55Â¬â a.m. and was gang related. 17-year-old John Campbell was wounded in the right foot, 18-year-old Larry Johnson was wounded in the right thigh and calf, and a 16-year-old received a chest wound. 18-year-old Kenneth Wolford, and two other male students were arrested and charged.[241]"
1/8/1991,Richardson,Texas,urban,High School,0,No Info,No Info
2/6/1991,Donna,Texas,No Info,High School,1,0.0,15-year-old Raul Calvo shot himself dead while playing Russian roulette inside a biology classroom atÂ¬â Donna High School.[242]
4/23/1991,Compton,California,urban,Middle School,1,No Info,No Info
4/23/1991,Compton,California,No Info,Middle School,1,0.0,"A teenager aimed and fired a handgun at a security guard who had chased him and three friends off the grounds of Ralph J. Bunche Middle School. He instead killed 11-year-old Alejandro Vargas, a bystander and student at the school.[243]"
9/18/1991,Crosby,Texas,rural,High School,1,No Info,No Info
9/18/1991,Crosby,Texas,No Info,High School,1,0.0,"17-year-old Arthur Jermel Jack, was killed by 15-year-old LaKeeta Cadoree, in the cafeteria atÂ¬â Crosby High School.[244]"
10/8/1991,Bronx,New York,urban,High School,1,No Info,No Info
11/1/1991,Iowa City,Iowa,urban,College,5,No Info,No Info
